Companies,Years on 100 Best list,Total number of US employees,Percentage of employees who are women (score,Percentage of employees who are women,Percentage of managers and executives who are women (score),Percentage of managers and executives who are women,Percentage of new hires who are women (score),Percentage of new hires who are women,Average representation score,Representation Score ,Maternal Paid Leave Score,Fully paid weeks off for new moms,Fully Paid weeks off for new dads,Flly paid weeks off for adoptive parents,Company offers backup childcare,Company subsidizes backup eldercare,Family Support Score,Family Support Score,Percentage of female employees who participate in career counseling,Percentage of female employees who participatein management/leadership training,Percentage of female employees who participate in mentoring,Average Advancement Percentage,Percentage of employees who telecommute,Managers trained to manage work-life and flexibility concerns of employees,Industry,Top Scoring Companies
Allianz Life Insurance Company of North America,4,"2,213",4,0.49,3,0.38,4,0.48,0.45,11,0.307692308,8,4,4,1,0,0.5,1,0.82,0.19,0.10,0.37,0.42,1,Pharmaceutical,1.63
Principal,15,"9,978",5,0.59,5,0.51,6,0.60,0.57,16,0.076923077,2,4,4,1,0,0.5,1,,0.96,0.02,0.49,0.88,1,Pharmaceutical,1.63
Marriott International,24,"102,562",5,0.55,5,0.55,5,0.59,0.56,15,0.076923077,2,2,2,1,0,0.5,1,0.90,0.22,0.45,0.52,0.07,1,Comsumer Products,1.66
State Street,5,"15,879",4,0.42,4,0.40,4,0.40,0.41,12,0.538461538,14,8,8,1,0,0.5,1,,,0.25,0.25,0.26,1,Consumer Products,1.70
LEGO Systems,14,"2,267",4,0.46,4,0.49,4,0.45,0.47,12,0.5,13,2,6,1,0,0.5,1,0.40,0.09,,0.25,0.75,1,Law Firm,1.71
S&P Global,12,"5,058",3,0.38,3,0.33,3,0.34,0.35,9,0.346153846,9,3,3,1,1,1,2,,0.03,0.05,0.04,0.60,0,Nonprofit,1.74
DuPont,28,"20,869",2,0.28,2,0.25,2,0.27,0.27,6,0.230769231,6,1,4,1,1,1,2,0.60,0.09,0.10,0.26,0.40,1,Hospitals/Healthcare,1.76
Booz Allen Hamilton,19,"22,618",3,0.37,3,0.34,3,0.34,0.35,9,0.307692308,8,2,6,1,0,0.5,1,1.00,0.13,0.80,0.64,0.80,1,Hospitals/Healthcare,1.80
Merck,31,"23,254",5,0.50,4,0.41,5,0.54,0.48,14,0.230769231,6,1,1,1,1,1,2,0.07,0.11,,0.09,0.45,1,Pharmaceutical,1.80
Synchrony Financial,1,"11,649",6,0.64,4,0.43,6,0.66,0.58,16,0.230769231,6,6,6,1,1,1,2,,,,,0.18,1,Technology,1.81
Abbott,17,"15,884",4,0.46,4,0.47,4,0.45,0.46,12,0.230769231,6,0,2,1,0,0.5,1,1.00,0.37,0.48,0.62,0.70,1,Financial Services,1.81
Northwestern Memorial HealthCare,18,"18,327",8,0.80,6,0.67,7,0.78,0.75,21,0.038461538,1,0,0,1,0,0.5,1,1.00,0.49,0.07,0.52,0.26,1,Telecommunications,1.81
JLL,1,"25,879",3,0.33,3,0.31,3,0.35,0.33,9,0.076923077,2,2,2,1,1,1,2,1.00,0.20,0.02,0.41,0.68,1,Pharmaceutical,1.81
Monsanto,5,"10,293",3,0.32,3,0.39,3,0.35,0.35,9,0.384615385,10,4,4,1,0,0.5,1,0.95,,0.24,0.60,0.80,1,Professional Services,1.83
Arnold & Porter Kaye Scholer,18,"1,859",5,0.53,4,0.40,5,0.57,0.50,14,0.692307692,18,6,18,1,0,0.5,1,0.16,0.10,0.20,0.15,,0,Financial Services,1.85
"Novo Nordisk, Inc.",3,"4,807",5,0.56,4,0.49,5,0.59,0.55,14,0.230769231,6,1,1,1,1,1,2,0.05,0.22,0.05,0.11,0.14,0,Financial Services,1.88
Verizon,17,"140,946",3,0.36,4,0.43,3,0.36,0.38,10,0.076923077,2,2,2,1,1,1,2,0.80,0.07,,0.44,0.33,1,Technology,1.90
Astellas,3,"3,164",5,0.53,5,0.51,5,0.55,0.53,15,0.384615385,10,2,2,1,1,1,2,,,,,0.88,1,Technology,1.91
Diageo North America,9,"2,244",3,0.39,7,0.75,3,0.34,0.49,13,0.384615385,10,4,4,1,1,1,2,,,0.07,0.07,0.50,1,Financial Services,1.95
Moffitt Cancer Center,9,"6,237",7,0.74,6,0.64,7,0.74,0.71,20,0.153846154,4,1,4,1,1,1,2,,0.09,,0.09,,1,Financial Services,1.95
MetLife,19,"19,403",5,0.58,4,0.45,5,0.55,0.53,14,0.538461538,14,2,2,1,0,0.5,1,0.98,0.13,0.07,0.39,0.11,1,Financial Services,1.96
DigitasLBi,2,"1,798",5,0.57,4,0.49,6,0.60,0.55,15,0.307692308,8,6,8,1,1,1,2,,,0.10,0.10,1.00,0,Professional Services,1.96
SapientRazorfish,1,"1,443",3,0.36,2,0.29,5,0.52,0.39,10,0.461538462,12,2,12,1,1,1,2,0.10,0.04,0.19,0.11,0.95,1,Marketing,1.96
Scripps Health,13,"14,496",7,0.76,6,0.66,7,0.75,0.72,20,0.230769231,6,4,4,1,1,1,2,0.00,0.04,0.01,0.02,0.05,1,Comsumer Products,1.97
FINRA,9,"3,565",4,0.44,3,0.38,4,0.40,0.41,11,0.5,13,13,13,1,1,1,2,,0.08,0.05,0.07,0.15,1,Law Firm,1.97
Broad Institute,1,"1,242",4,0.49,4,0.43,5,0.52,0.48,13,0.461538462,12,12,12,1,1,1,2,0.04,0.07,0.11,0.07,0.25,1,Consumer Products,2.01
TIAA,11,"10,639",4,0.42,3,0.39,3,0.37,0.39,10,0.384615385,10,4,4,1,1,1,2,0.56,0.02,0.18,0.25,0.70,1,Telecommunications,2.03
OppenheimerFunds,1,"2,289",4,0.42,3,0.34,3,0.36,0.37,10,0.5,13,5,5,1,1,1,2,0.28,0.14,0.06,0.16,0.80,1,Professional Services,2.03
Genentech,24,"14,987",5,0.53,4,0.47,6,0.60,0.53,15,0.307692308,8,8,8,1,1,1,2,0.15,0.40,0.06,0.20,0.50,1,Financial Services,2.04
Children's Healthcare of Atlanta,13,"10,280",8,0.83,7,0.78,8,0.82,0.81,23,0.038461538,1,1,1,1,1,1,2,0.26,0.26,0.10,0.21,0.18,1,Insurance,2.06
Turner,15,"8,622",4,0.45,4,0.45,4,0.47,0.46,12,0.461538462,12,6,6,1,1,1,2,,0.20,0.08,0.14,0.35,1,Technology,2.06
A.T. Kearney,5,"1,040",3,0.39,2,0.26,4,0.41,0.35,9,0.384615385,10,2,2,1,1,1,2,0.12,0.49,0.37,0.33,0.95,1,Financial Services,2.06
First Horizon National,23,"4,317",6,0.60,5,0.53,5,0.59,0.57,16,0.307692308,8,4,4,0,1,0.5,1,1.00,1.00,0.09,0.70,0.75,1,Financial Services,2.08
Discovery Communications,18,"3,114",5,0.54,5,0.55,6,0.60,0.56,16,0.384615385,10,4,4,1,1,1,2,,0.17,0.09,0.13,0.85,0,Hospitals/Healthcare,2.08
Zurich North America,8,"9,290",5,0.50,4,0.42,4,0.42,0.45,13,0.230769231,6,0,2,1,1,1,2,,0.43,,0.43,0.10,1,Insurance,2.11
Lenovo,1,"6,288",1,0.19,1,0.19,2,0.20,0.19,4,0.846153846,22,7,7,1,1,1,2,,0.03,0.12,0.08,0.78,1,Professional Services,2.11
Morgan Stanley,16,"39,382",3,0.38,2,0.22,4,0.40,0.33,9,0.615384615,16,1,16,1,1,1,2,0.45,0.03,0.03,0.17,0.98,1,Pharmaceutical,2.12
Johnson & Johnson TOP 10        25,32,"39,372",4,0.45,4,0.44,4,0.47,0.45,12,0.576923077,15,8,8,1,0,0.5,1,0.98,0.46,0.34,0.59,0.75,0,Financial Services,2.12
JPMorgan Chase & Co.,21,"161,804",5,0.54,4,0.44,5,0.55,0.51,14,0.615384615,16,2,16,1,0,0.5,1,0.93,0.07,0.51,0.50,0.20,1,Insurance,2.13
The Advisory Board Company,4,"3,475",5,0.56,5,0.50,5,0.57,0.54,15,0.153846154,4,2,4,1,0,0.5,1,,0.94,,0.94,0.80,1,Professional Services,2.14
Zoetis,4,"3,964",4,0.41,3,0.36,4,0.46,0.41,11,0.5,13,1,6,1,1,1,2,0.30,0.21,0.24,0.25,0.80,1,Manufacturing,2.16
L.E.K. Consulting,1,528,4,0.40,2,0.29,2,0.25,0.31,8,0.615384615,16,8,16,1,0,0.5,1,1.00,0.20,1.00,0.73,,1,Pharmaceutical,2.16
Blue Cross and Blue Shield of North Carolina,11,"4,914",7,0.76,6,0.62,7,0.71,0.70,20,0.307692308,8,2,4,1,1,1,2,,0.31,0.02,0.17,0.13,1,Hospitals/Healthcare,2.17
Freddie Mac,13,"5,915",4,0.46,4,0.42,4,0.41,0.43,12,0.346153846,9,3,6,1,1,1,2,1.00,0.11,0.08,0.40,0.80,0,Pharmaceutical,2.17
HP,27,"12,926",3,0.31,2,0.29,3,0.30,0.30,8,0.384615385,10,4,8,1,1,1,2,0.80,0.18,,0.49,0.70,1,Law Firm,2.17
Procter & Gamble         25,29,"24,264",3,0.38,4,0.43,3,0.32,0.38,10,0.615384615,16,4,16,1,0,0.5,1,1.00,0.55,0.50,0.68,0.80,1,Consumer Products,2.18
WellStar Health System,10,"19,988",8,0.81,6,0.69,8,0.81,0.77,22,0.115384615,3,3,3,1,1,1,2,,0.29,,0.29,,1,Hospitals/Healthcare,2.18
Lexmark International,2,"3,821",2,0.25,2,0.25,2,0.28,0.26,6,0.461538462,12,6,6,1,1,1,2,1.00,0.02,0.38,0.47,0.90,1,Technology,2.19
Katten Muchin Rosenman,11,"1,355",5,0.52,3,0.31,5,0.52,0.45,13,0.269230769,7,0,6,1,1,1,2,0.75,0.06,0.75,0.52,0.68,1,Pharmaceutical,2.24
Bon Secours Virginia Health System,19,"16,111",8,0.82,7,0.76,8,0.83,0.80,23,0.038461538,1,1,1,1,1,1,2,1.00,0.13,0.08,0.40,0.03,1,Pharmaceutical,2.25
Takeda,5,"5,295",5,0.55,4,0.42,5,0.54,0.50,14,0.307692308,8,2,2,1,1,1,2,1.00,0.22,0.12,0.45,0.82,1,Financial Services,2.26
Eli Lilly and Company,23,"19,417",4,0.48,3,0.35,5,0.53,0.45,12,0.384615385,10,1,4,1,1,1,2,0.41,,0.43,0.42,0.45,1,Technology,2.26
Dow Jones & Co.,3,"3,457",4,0.44,4,0.42,4,0.48,0.45,12,0.461538462,12,12,12,1,1,1,2,,0.52,0.21,0.37,0.04,1,Technology,2.27
The Boston Consulting Group,11,"4,497",4,0.46,4,0.40,4,0.45,0.44,12,0.615384615,16,8,8,1,1,1,2,0.06,0.42,,0.24,,1,Insurance,2.29
Viacom,7,"6,668",5,0.55,5,0.52,6,0.60,0.56,16,0.384615385,10,4,6,1,1,1,2,0.13,0.58,,0.36,0.85,1,Professional Services,2.30
Moody's,2,"3,402",3,0.39,3,0.33,3,0.33,0.35,9,0.384615385,10,4,4,1,1,1,2,0.70,0.81,0.23,0.58,0.89,1,Technology,2.31
Leo Burnett,12,"1,309",5,0.55,5,0.52,5,0.51,0.53,15,0.384615385,10,2,4,1,1,1,2,0.75,,0.07,0.41,0.75,1,Marketing,2.32
L’Oréal USA,3,"10,306",6,0.68,6,0.61,7,0.74,0.68,19,0.538461538,14,2,2,1,1,1,2,0.34,0.04,0.05,0.14,0.14,1,Professional Services,2.36
"Finnegan, Henderson, Farabow, Garrett & Dunner",6,760,5,0.57,4,0.40,4,0.49,0.49,13,0.461538462,12,9,9,1,1,1,2,0.51,0.45,0.28,0.41,0.54,1,Professional Services,2.36
Capital One,12,"49,430",5,0.54,3,0.39,5,0.50,0.48,13,0.692307692,18,8,8,1,1,1,2,0.11,0.28,,0.20,0.60,1,Hospitality,2.36
Pillsbury Winthrop Shaw Pittman,12,"1,428",5,0.51,4,0.46,5,0.54,0.50,14,0.692307692,18,12,12,1,1,1,2,,,0.18,0.18,0.75,1,Comsumer Products,2.38
GE,15,"103,489",2,0.23,2,0.22,2,0.26,0.24,6,0.576923077,15,6,6,1,1,1,2,1.00,0.81,0.16,0.66,0.55,1,Pharmaceutical,2.47
AbbVie,4,"12,924",5,0.52,4,0.49,5,0.53,0.51,14,0.307692308,8,2,4,1,1,1,2,1.00,0.50,0.56,0.69,0.80,1,Hospitals/Healthcare,2.51
Colgate-Palmolive,18,"4,787",4,0.41,4,0.40,3,0.34,0.38,11,0.346153846,9,3,7,1,1,1,2,0.70,0.97,,0.84,0.38,1,Professional Services,2.56
IBM,32,"380,000",3,0.31,3,0.30,3,0.31,0.31,9,0.461538462,12,6,6,1,1,1,2,1.00,0.50,0.89,0.80,,1,Insurance,2.56
Goldman Sachs,15,"15,653",3,0.37,3,0.30,3,0.39,0.35,9,0.615384615,16,4,16,1,1,1,2,0.66,0.69,0.45,0.60,0.44,1,Professional Services,2.57
Unilever,5,"10,152",4,0.44,4,0.49,4,0.43,0.45,12,0.461538462,12,4,4,1,1,1,2,0.95,0.50,0.52,0.66,0.49,1,Marketing,2.57
Prudential Financial TOP 10        25,28,"20,314",4,0.49,4,0.48,4,0.40,0.46,12,0.307692308,8,4,4,1,1,1,2,0.72,0.83,0.89,0.81,0.75,1,Comsumer Products,2.58
Adobe Systems,1,"7,346",3,0.32,3,0.35,3,0.38,0.35,9,1,26,4,16,1,1,1,2,0.06,0.40,,0.23,0.60,0,Professional Services,2.58
Moss Adams,7,"2,590",5,0.53,4,0.45,5,0.57,0.52,14,0.346153846,9,2,2,1,1,1,2,1.00,0.28,1.00,0.76,0.20,0,Law Firm,2.62
Bain & Co.,10,"2,717",4,0.48,4,0.43,4,0.48,0.46,12,0.615384615,16,8,8,1,1,1,2,0.68,0.32,0.68,0.56,0.87,1,Professional Services,2.64
Grant Thornton,12,"7,833",4,0.45,3,0.39,4,0.44,0.43,11,0.461538462,12,2,12,1,1,1,2,1.00,0.31,1.00,0.77,0.95,1,Financial Services,2.66
TriHealth,13,"1,380",7,0.79,7,0.77,8,0.81,0.79,22,0.461538462,12,0,0,1,1,1,2,,0.44,,0.44,0.20,1,Telecommunications,2.69
PwC,19,"44,792",4,0.45,4,0.42,4,0.44,0.44,12,0.576923077,15,6,12,1,1,1,2,1.00,0.16,1.00,0.72,0.70,1,Professional Services,2.73
PNC Financial Services Group,16,"52,051",6,0.60,4,0.49,6,0.61,0.57,16,0.615384615,16,6,6,1,1,1,2,1.00,0.19,,0.60,0.55,1,Financial Services,2.78
Ernst & Young LLP TOP 10,21,"41,583",4,0.45,4,0.41,4,0.45,0.44,12,0.615384615,16,16,16,1,1,1,2,1.00,0.18,1.00,0.73,0.95,1,Financial Services,2.78
Bank of America  TOP 10        25,29,"175,368",5,0.55,4,0.46,5,0.51,0.51,14,0.615384615,16,16,16,1,1,1,2,1.00,0.34,,0.67,0.39,1,Financial Services,2.79
BDO USA,7,"6,469",4,0.47,4,0.41,4,0.46,0.45,12,0.346153846,9,2,9,1,1,1,2,1.00,1.00,1.00,1.00,0.85,1,Manufacturing,2.79
American Express         25,26,"20,930",5,0.57,4,0.48,5,0.50,0.52,14,0.384615385,10,2,6,1,1,1,2,1.00,,,1.00,0.48,1,Manufacturing,2.90
Accenture,15,"47,756",3,0.36,3,0.31,4,0.43,0.37,10,0.615384615,16,2,8,1,1,1,2,1.00,,1.00,1.00,0.85,1,Technology,2.98
KPMG,21,"30,662",4,0.45,3,0.38,4,0.43,0.42,11,0.615384615,16,6,6,1,1,1,2,1.00,0.96,1.00,0.99,,1,Financial Services,3.02
McKinsey & Co. TOP 10,11,"7,115",4,0.44,3,0.37,4,0.43,0.41,11,0.615384615,16,8,12,1,1,1,2,1.00,1.00,,1.00,1.00,1,Financial Services,3.03
Deloitte,24,"53,470",4,0.43,4,0.40,4,0.44,0.42,12,0.846153846,22,16,16,1,1,1,2,0.91,0.87,0.85,0.88,0.95,1,Technology,3.15
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
